Location,Sub-location,Pokemon,G,S,C,Method,Levels,Morning Rate,Day Rate,Night Rate
Route 40,N/A,krabby,True,True,True,Rock Smash,15,90%,90%,90%
Route 40,N/A,shuckle,True,True,True,Rock Smash,15,10%,10%,10%
Whirl Islands,1F,zubat,True,True,True,Cave,23,30%,30%,30%
Whirl Islands,1F,golbat,True,True,False,Cave,23,5%,5%,5%
Whirl Islands,1F,golbat,False,False,True,Cave,25,5%,5%,0%
Whirl Islands,1F,golbat,False,False,True,Cave,24-25,0%,0%,10%
Whirl Islands,1F,seel,True,True,False,Cave,22-24,15%,15%,15%
Whirl Islands,1F,seel,False,False,True,Cave,22-24,25%,25%,0%
Whirl Islands,1F,krabby,True,True,False,Cave,22-24,50%,50%,50%
Whirl Islands,1F,krabby,False,False,True,Cave,22-24,40%,40%,60%
Whirl Islands,1F,tentacool,True,True,True,Surfing,20-24,60%,60%,60%
Whirl Islands,1F,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Whirl Islands,1F,horsea,True,True,True,Surfing,15-19,30%,30%,30%
Whirl Islands,1F,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Whirl Islands,1F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Whirl Islands,1F,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Whirl Islands,1F,horsea,True,True,True,Fishing Good Rod,20,10%,10%,10%
Whirl Islands,1F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Whirl Islands,1F,krabby,True,True,True,Fishing Super Rod,40,40%,40%,40%
Whirl Islands,1F,kingler,True,True,True,Fishing Super Rod,40,20%,20%,20%
Whirl Islands,1F,horsea,True,True,True,Fishing Super Rod,40,30%,30%,30%
Whirl Islands,1F,seadra,True,True,True,Fishing Super Rod,40,10%,10%,10%
Whirl Islands,B1F,zubat,True,True,True,Cave,24,30%,30%,30%
Whirl Islands,B1F,golbat,True,True,False,Cave,24,5%,5%,5%
Whirl Islands,B1F,golbat,False,False,True,Cave,26,5%,5%,0%
Whirl Islands,B1F,golbat,False,False,True,Cave,25-26,0%,0%,10%
Whirl Islands,B1F,seel,True,True,False,Cave,23-25,15%,15%,15%
Whirl Islands,B1F,seel,False,False,True,Cave,23-25,25%,25%,0%
Whirl Islands,B1F,krabby,True,True,False,Cave,23-25,50%,50%,50%
Whirl Islands,B1F,krabby,False,False,True,Cave,23-25,40%,40%,60%
Whirl Islands,B2F,zubat,True,True,False,Cave,24,30%,30%,30%
Whirl Islands,B2F,zubat,False,False,True,Cave,25,30%,30%,30%
Whirl Islands,B2F,golbat,True,True,False,Cave,24,5%,5%,5%
Whirl Islands,B2F,golbat,False,False,True,Cave,27,5%,5%,0%
Whirl Islands,B2F,golbat,False,False,True,Cave,26-27,0%,0%,10%
Whirl Islands,B2F,seel,True,True,False,Cave,23-25,15%,15%,15%
Whirl Islands,B2F,seel,False,False,True,Cave,24-26,25%,25%,0%
Whirl Islands,B2F,krabby,True,True,False,Cave,23-25,50%,50%,50%
Whirl Islands,B2F,krabby,False,False,True,Cave,24-26,40%,40%,60%
Whirl Islands,B2F,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Whirl Islands,B2F,horsea,True,True,True,Surfing,15-24,90%,90%,90%
Whirl Islands,B2F,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Whirl Islands,B2F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Whirl Islands,B2F,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Whirl Islands,B2F,horsea,True,True,True,Fishing Good Rod,20,10%,10%,10%
Whirl Islands,B2F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Whirl Islands,B2F,krabby,True,True,True,Fishing Super Rod,40,40%,40%,40%
Whirl Islands,B2F,kingler,True,True,True,Fishing Super Rod,40,20%,20%,20%
Whirl Islands,B2F,horsea,True,True,True,Fishing Super Rod,40,30%,30%,30%
Whirl Islands,B2F,seadra,True,True,True,Fishing Super Rod,40,10%,10%,10%
Whirl Islands,B2F (Inner Cave),zubat,True,True,False,Cave,25,30%,30%,30%
Whirl Islands,B2F (Inner Cave),zubat,False,False,True,Cave,26,30%,30%,30%
Whirl Islands,B2F (Inner Cave),golbat,True,True,False,Cave,25,5%,5%,5%
Whirl Islands,B2F (Inner Cave),golbat,False,False,True,Cave,28,5%,5%,0%
Whirl Islands,B2F (Inner Cave),golbat,False,False,True,Cave,27-28,0%,0%,10%
Whirl Islands,B2F (Inner Cave),seel,True,True,False,Cave,24-26,15%,15%,15%
Whirl Islands,B2F (Inner Cave),seel,False,False,True,Cave,25-27,25%,25%,0%
Whirl Islands,B2F (Inner Cave),krabby,True,True,False,Cave,24-26,50%,50%,50%
Whirl Islands,B2F (Inner Cave),krabby,False,False,True,Cave,25-27,40%,40%,60%
Whirl Islands,B2F (Inner Cave),tentacruel,True,True,True,Surfing,20-28,30%,30%,30%
Whirl Islands,B2F (Inner Cave),horsea,True,True,True,Surfing,15-24,60%,60%,60%
Whirl Islands,B2F (Inner Cave),seadra,True,True,True,Surfing,20-24,10%,10%,10%
Whirl Islands,B2F (Inner Cave),krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Whirl Islands,B2F (Inner Cave),magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Whirl Islands,B2F (Inner Cave),krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Whirl Islands,B2F (Inner Cave),horsea,True,True,True,Fishing Good Rod,20,10%,10%,10%
Whirl Islands,B2F (Inner Cave),magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Whirl Islands,B2F (Inner Cave),krabby,True,True,True,Fishing Super Rod,40,40%,40%,40%
Whirl Islands,B2F (Inner Cave),kingler,True,True,True,Fishing Super Rod,40,20%,20%,20%
Whirl Islands,B2F (Inner Cave),horsea,True,True,True,Fishing Super Rod,40,30%,30%,30%
Whirl Islands,B2F (Inner Cave),seadra,True,True,True,Fishing Super Rod,40,10%,10%,10%
Whirl Islands,B2F (Inner Cave),lugia,True,False,False,Only one,70,One,One,One
Whirl Islands,B2F (Inner Cave),lugia,False,True,False,Only one,40,One,One,One
Whirl Islands,B2F (Inner Cave),lugia,False,False,True,Only one,60,One,One,One
Route 41,N/A,tentacool,True,False,True,Surfing,15-24,60%,60%,60%
Route 41,N/A,tentacool,False,True,False,Surfing,15-24,70%,70%,70%
Route 41,N/A,tentacruel,True,True,True,Surfing,20-24,30%,30%,30%
Route 41,N/A,mantine,True,False,True,Surfing,20-24,10%,10%,10%
Route 41,N/A,tentacool,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 41,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 41,N/A,tentacool,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 41,N/A,shellder,True,True,True,Fishing Good Rod,20,10%,10%,10%
Route 41,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 41,N/A,chinchou,True,True,True,Fishing Good Rod,20,20%,20%,20%
Route 41,N/A,tentacruel,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 41,N/A,shellder,True,True,True,Fishing Super Rod,40,30%,30%,30%
Route 41,N/A,chinchou,True,True,True,Fishing Super Rod,40,40%,40%,40%
Route 41,N/A,lanturn,True,True,True,Fishing Super Rod,40,10%,10%,10%
Cianwood City,N/A,tentacool,True,True,True,Surfing,15-24,90%,90%,90%
Cianwood City,N/A,tentacruel,True,True,True,Surfing,20-24,10%,10%,10%
Cianwood City,N/A,krabby,True,True,True,Fishing Old Rod,10,15%,15%,15%
Cianwood City,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Cianwood City,N/A,krabby,True,True,True,Fishing Good Rod,20,55%,55%,55%
Cianwood City,N/A,staryu,True,True,True,Fishing Good Rod,20,0%,0%,10%
Cianwood City,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Cianwood City,N/A,corsola,True,True,True,Fishing Good Rod,20,10%,10%,0%
Cianwood City,N/A,krabby,True,True,True,Fishing Super Rod,40,60%,60%,60%
Cianwood City,N/A,kingler,True,True,True,Fishing Super Rod,40,10%,10%,10%
Cianwood City,N/A,staryu,True,True,True,Fishing Super Rod,40,0%,0%,30%
Cianwood City,N/A,corsola,True,True,True,Fishing Super Rod,40,30%,30%,0%
Cianwood City,N/A,krabby,True,True,True,Rock Smash,15,90%,90%,90%
Cianwood City,N/A,shuckle,True,True,True,Rock Smash,15,10%,10%,10%
Cianwood City,N/A,shuckle,True,True,True,Gift,15,One,One,One
Route 42,N/A,rattata,False,False,True,Grass,15,20%,20%,0%
Route 42,N/A,rattata,False,False,True,Grass,13,0%,0%,30%
Route 42,N/A,raticate,False,False,True,Grass,16,10%,10%,0%
Route 42,N/A,raticate,False,False,True,Grass,15,0%,0%,20%
Route 42,N/A,spearow,True,False,False,Grass,14-16,30%,30%,0%
Route 42,N/A,spearow,False,True,False,Grass,14-16,40%,40%,0%
Route 42,N/A,spearow,False,False,True,Grass,14,30%,30%,0%
Route 42,N/A,fearow,False,False,True,Grass,16,5%,5%,0%
Route 42,N/A,ekans,False,False,True,Grass,13,30%,30%,0%
Route 42,N/A,arbok,False,False,True,Grass,15,5%,5%,0%
Route 42,N/A,zubat,True,False,False,Grass,14-16,0%,0%,30%
Route 42,N/A,zubat,False,True,False,Grass,14-16,0%,0%,40%
Route 42,N/A,zubat,False,False,True,Grass,14,0%,0%,30%
Route 42,N/A,golbat,False,False,True,Grass,16,0%,0%,15%
Route 42,N/A,mankey,True,False,False,Grass,15,30%,30%,30%
Route 42,N/A,mareep,True,False,False,Grass,13,30%,30%,30%
Route 42,N/A,mareep,False,True,False,Grass,13-15,50%,50%,50%
Route 42,N/A,flaaffy,True,True,False,Grass,15-17,10%,10%,10%
Route 42,N/A,marill,False,False,True,Grass,15,0%,0%,5%
Route 42,N/A,goldeen,True,True,True,Surfing,15-24,90%,90%,90%
Route 42,N/A,seaking,True,True,True,Surfing,20-24,10%,10%,10%
Route 42,N/A,goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 42,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 42,N/A,goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 42,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 42,N/A,goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Route 42,N/A,seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Route 42,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 42,N/A,spearow,True,True,False,Headbutt,10,80%,80%,80%
Route 42,N/A,spearow,False,False,True,Headbutt,10,65%,65%,65%
Route 42,N/A,ekans,False,False,True,Headbutt,10,15%,15%,15%
Route 42,N/A,aipom,True,True,True,Headbutt,10,20%,20%,20%
Route 42,N/A,spearow,True,True,True,Headbutt,10,50%,50%,50%
Route 42,N/A,aipom,True,True,True,Headbutt,10,20%,20%,20%
Route 42,N/A,heracross,True,True,True,Headbutt,10,30%,30%,30%
Mt. Mortar,1F (entrance),rattata,True,True,False,Cave,14-16,14%,14%,14%
Mt. Mortar,1F (entrance),rattata,False,False,True,Cave,14,30%,30%,30%
Mt. Mortar,1F (entrance),raticate,False,False,True,Cave,16,5%,5%,5%
Mt. Mortar,1F (entrance),zubat,True,True,False,Cave,13-15,60%,60%,60%
Mt. Mortar,1F (entrance),zubat,False,False,True,Cave,13,30%,30%,30%
Mt. Mortar,1F (entrance),golbat,False,False,True,Cave,13,10%,10%,10%
Mt. Mortar,1F (entrance),machop,True,True,False,Cave,14,20%,20%,20%
Mt. Mortar,1F (entrance),machop,False,False,True,Cave,14,20%,20%,0%
Mt. Mortar,1F (entrance),geodude,True,True,True,Cave,14,5%,5%,5%
Mt. Mortar,1F (entrance),marill,True,True,False,Cave,15,1%,1%,1%
Mt. Mortar,1F (entrance),marill,False,False,True,Cave,14,0%,0%,20%
Mt. Mortar,1F (entrance),goldeen,True,True,False,Surfing,15-24,90%,90%,90%
Mt. Mortar,1F (entrance),goldeen,False,False,True,Surfing,15-19,60%,60%,60%
Mt. Mortar,1F (entrance),seaking,True,True,True,Surfing,20-24,10%,10%,10%
Mt. Mortar,1F (entrance),marill,False,False,True,Surfing,20-24,30%,30%,30%
Mt. Mortar,1F (entrance),goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Mt. Mortar,1F (entrance),magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Mt. Mortar,1F (entrance),goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Mt. Mortar,1F (entrance),magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Mt. Mortar,1F (entrance),goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Mt. Mortar,1F (entrance),seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Mt. Mortar,1F (entrance),magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Mt. Mortar,1F (entrance),rattata,True,True,False,Swarm,16,5%,5%,5%
Mt. Mortar,1F (entrance),zubat,True,True,False,Swarm,15,30%,30%,30%
Mt. Mortar,1F (entrance),machop,True,True,False,Swarm,14,20%,20%,20%
Mt. Mortar,1F (entrance),geodude,True,True,False,Swarm,14,5%,5%,5%
Mt. Mortar,1F (entrance),marill,True,True,False,Swarm,13-15,40%,40%,40%
Mt. Mortar,1F (back),rattata,True,True,False,Cave,14,10%,10%,10%
Mt. Mortar,1F (back),rattata,False,False,True,Cave,14,30%,30%,30%
Mt. Mortar,1F (back),raticate,False,False,True,Cave,14,10%,10%,20%
Mt. Mortar,1F (back),zubat,True,True,False,Cave,14,5%,5%,5%
Mt. Mortar,1F (back),zubat,False,False,True,Cave,15,5%,5%,10%
Mt. Mortar,1F (back),golbat,False,False,True,Cave,15,5%,5%,5%
Mt. Mortar,1F (back),machop,True,True,False,Cave,13-15,35%,35%,35%
Mt. Mortar,1F (back),machop,False,False,True,Cave,15,20%,20%,0%
Mt. Mortar,1F (back),geodude,True,True,False,Cave,13-15,50%,50%,50%
Mt. Mortar,1F (back),geodude,False,False,True,Cave,13,30%,30%,30%
Mt. Mortar,1F (back),marill,False,False,True,Cave,15,0%,0%,5%
Mt. Mortar,2F,raticate,True,True,False,Cave,30,10%,10%,10%
Mt. Mortar,2F,raticate,False,False,True,Cave,30,10%,10%,20%
Mt. Mortar,2F,golbat,True,True,False,Cave,30,5%,5%,5%
Mt. Mortar,2F,golbat,False,False,True,Cave,30,5%,5%,15%
Mt. Mortar,2F,machop,True,True,False,Cave,28,5%,5%,5%
Mt. Mortar,2F,machop,False,False,True,Cave,28,5%,5%,0%
Mt. Mortar,2F,machoke,True,True,False,Cave,32,30%,30%,30%
Mt. Mortar,2F,machoke,False,False,True,Cave,32,30%,30%,0%
Mt. Mortar,2F,geodude,True,True,False,Cave,31,20%,20%,20%
Mt. Mortar,2F,geodude,False,False,True,Cave,31,0%,20%,30%
Mt. Mortar,2F,graveler,True,True,True,Cave,31,30%,30%,30%
Mt. Mortar,2F,marill,False,False,True,Cave,28,0%,0%,5%
Mt. Mortar,2F,goldeen,True,True,False,Surfing,20-29,90%,90%,90%
Mt. Mortar,2F,goldeen,False,False,True,Surfing,20-24,60%,60%,60%
Mt. Mortar,2F,seaking,True,True,True,Surfing,25-29,10%,10%,10%
Mt. Mortar,2F,marill,False,False,True,Surfing,25-29,30%,30%,30%
Mt. Mortar,2F,goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Mt. Mortar,2F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Mt. Mortar,2F,goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Mt. Mortar,2F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Mt. Mortar,2F,goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Mt. Mortar,2F,seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Mt. Mortar,2F,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Mt. Mortar,B1F,rattata,True,True,False,Cave,16,20%,20%,20%
Mt. Mortar,B1F,raticate,True,True,False,Cave,16,5%,5%,5%
Mt. Mortar,B1F,raticate,False,False,True,Cave,18,5%,5%,5%
Mt. Mortar,B1F,zubat,True,True,True,Cave,15-17,60%,60%,60%
Mt. Mortar,B1F,golbat,False,False,True,Cave,17,20%,20%,20%
Mt. Mortar,B1F,machop,True,True,False,Cave,16,10%,10%,10%
Mt. Mortar,B1F,machop,False,False,True,Cave,16,10%,10%,0%
Mt. Mortar,B1F,geodude,True,True,True,Cave,16,5%,5%,5%
Mt. Mortar,B1F,marill,False,False,True,Cave,16,0%,0%,10%
Mt. Mortar,B1F,goldeen,True,True,False,Surfing,15-24,90%,90%,90%
Mt. Mortar,B1F,goldeen,False,False,True,Surfing,15-19,60%,60%,60%
Mt. Mortar,B1F,seaking,True,True,True,Surfing,20-24,10%,10%,10%
Mt. Mortar,B1F,marill,False,False,True,Surfing,20-24,30%,30%,30%
Mt. Mortar,B1F,goldeen,True,True,True,Fishing Old Rod,10,15%,15%,15%
Mt. Mortar,B1F,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Mt. Mortar,B1F,goldeen,True,True,True,Fishing Good Rod,20,65%,65%,65%
Mt. Mortar,B1F,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Mt. Mortar,B1F,goldeen,True,True,True,Fishing Super Rod,40,70%,70%,70%
Mt. Mortar,B1F,seaking,True,True,True,Fishing Super Rod,40,10%,10%,10%
Mt. Mortar,B1F,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Mt. Mortar,B1F,tyrogue,True,True,True,Gift,10,One,One,One
Route 43,N/A,pidgeotto,True,True,False,Grass,17,25%,20%,0%
Route 43,N/A,pidgeotto,False,False,True,Grass,16,30%,30%,0%
Route 43,N/A,raticate,False,False,True,Grass,17,5%,5%,0%
Route 43,N/A,raticate,False,False,True,Grass,16-17,0%,0%,25%
Route 43,N/A,venonat,True,True,False,Grass,16,5%,0%,15%
Route 43,N/A,venonat,False,False,True,Grass,15-17,0%,0%,40%
Route 43,N/A,venomoth,False,False,True,Grass,17,0%,0%,5%
Route 43,N/A,farfetchd,False,False,True,Grass,16,20%,20%,0%
Route 43,N/A,sentret,False,False,True,Grass,15,30%,30%,0%
Route 43,N/A,furret,False,False,True,Grass,15-17,15%,15%,0%
Route 43,N/A,noctowl,True,True,False,Grass,17,0%,0%,20%
Route 43,N/A,noctowl,False,False,True,Grass,16,0%,0%,30%
Route 43,N/A,mareep,True,True,False,Grass,15,10%,10%,5%
Route 43,N/A,flaaffy,True,True,False,Grass,15,30%,40%,30%
Route 43,N/A,girafarig,True,True,False,Grass,15,30%,30%,30%
Route 43,N/A,magikarp,True,True,True,Surfing,15-24,100%,100%,100%
Route 43,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 43,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 43,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 43,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 43,N/A,poliwag,True,True,True,Fishing Super Rod,40,80%,80%,80%
Route 43,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 43,N/A,spearow,True,True,False,Headbutt,10,80%,80%,80%
Route 43,N/A,venonat,False,False,True,Headbutt,10,15%,15%,15%
Route 43,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 43,N/A,hoothoot,False,False,True,Headbutt,10,65%,65%,65%
Route 43,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 43,N/A,spearow,True,True,False,Headbutt,10,50%,50%,50%
Route 43,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Route 43,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Route 43,N/A,aipom,True,True,False,Headbutt,10,20%,20%,20%
Route 43,N/A,pineco,False,False,True,Headbutt,10,30%,30%,30%
Route 43,N/A,heracross,True,True,False,Headbutt,10,30%,30%,30%
Lake of Rage,N/A,magikarp,True,True,True,Surfing,10–19,90%,90%,90%
Lake of Rage,N/A,gyarados,True,True,True,Surfing,15–19,10%,10%,10%
Lake of Rage,N/A,magikarp,True,True,True,Fishing Old Rod,10,100%,100%,100%
Lake of Rage,N/A,magikarp,True,True,True,Fishing Good Rod,20,90%,90%,90%
Lake of Rage,N/A,gyarados,True,True,True,Fishing Good Rod,20,10%,10%,10%
Lake of Rage,N/A,magikarp,True,True,True,Fishing Super Rod,40,70%,70%,70%
Lake of Rage,N/A,gyarados,True,True,True,Fishing Super Rod,40,30%,30%,30%
Lake of Rage,N/A,caterpie,True,False,False,Headbutt,10,65%,65%,65%
Lake of Rage,N/A,metapod,True,False,False,Headbutt,10,15%,15%,15%
Lake of Rage,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Lake of Rage,N/A,weedle,False,True,False,Headbutt,10,65%,65%,65%
Lake of Rage,N/A,kakuna,False,True,False,Headbutt,10,15%,15%,15%
Lake of Rage,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Lake of Rage,N/A,venonat,False,False,True,Headbutt,10,15%,15%,15%
Lake of Rage,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Lake of Rage,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Lake of Rage,N/A,hoothoot,False,False,True,Headbutt,10,65%,65%,65%
Lake of Rage,N/A,caterpie,True,False,False,Headbutt,10,50%,50%,50%
Lake of Rage,N/A,butterfree,True,False,False,Headbutt,10,5%,5%,5%
Lake of Rage,N/A,weedle,False,True,False,Headbutt,10,50%,50%,50%
Lake of Rage,N/A,beedrill,False,True,False,Headbutt,10,5%,5%,5%
Lake of Rage,N/A,exeggcute,True,True,False,Headbutt,10,15%,15%,15%
Lake of Rage,N/A,exeggcute,False,False,True,Headbutt,10,20%,20%,20%
Lake of Rage,N/A,hoothoot,False,False,True,Headbutt,10,50%,50%,50%
Lake of Rage,N/A,pineco,True,True,True,Headbutt,10,30%,30%,30%
Lake of Rage,N/A,gyarados_shiny,True,True,True,Only one,30,One,One,One
Route 44,N/A,poliwag,False,False,True,Grass,22,0%,0%,30%
Route 44,N/A,poliwhirl,False,False,True,Grass,24-26,0%,0%,10%
Route 44,N/A,bellsprout,True,True,True,Grass,22,20%,20%,20%
Route 44,N/A,weepinbell,True,True,False,Grass,22-24,35%,35%,35%
Route 44,N/A,weepinbell,False,False,True,Grass,24,10%,10%,10%
Route 44,N/A,lickitung,True,True,False,Grass,24-26,15%,15%,15%
Route 44,N/A,lickitung,False,False,True,Grass,22-26,40%,40%,0%
Route 44,N/A,tangela,True,True,True,Grass,23,30%,30%,30%
Route 44,N/A,poliwag,True,True,True,Surfing,15-25,90%,90%,90%
Route 44,N/A,poliwhirl,True,True,True,Surfing,25-29,10%,10%,10%
Route 44,N/A,poliwag,True,True,True,Fishing Old Rod,10,15%,15%,15%
Route 44,N/A,magikarp,True,True,True,Fishing Old Rod,10,85%,85%,85%
Route 44,N/A,poliwag,True,True,True,Fishing Good Rod,20,65%,65%,65%
Route 44,N/A,magikarp,True,True,True,Fishing Good Rod,20,35%,35%,35%
Route 44,N/A,poliwag,True,True,False,Fishing Super Rod,40,70%,70%,70%
Route 44,N/A,poliwag,False,False,True,Fishing Super Rod,40,80%,80%,80%
Route 44,N/A,magikarp,True,True,True,Fishing Super Rod,40,20%,20%,20%
Route 44,N/A,remoraid,True,True,False,Fishing Super Rod,40,10%,10%,10%
Route 44,N/A,spearow,True,True,True,Headbutt,10,80%,80%,80%
Route 44,N/A,aipom,True,True,True,Headbutt,10,20%,20%,20%
Route 44,N/A,spearow,True,True,True,Headbutt,10,50%,50%,50%
Route 44,N/A,aipom,True,True,True,Headbutt,10,20%,20%,20%
Route 44,N/A,heracross,True,True,True,Headbutt,10,30%,30%,30%
Route 44,N/A,magikarp,True,True,False,Fishing Old Rod,10,85%,85%,85%
Route 44,N/A,remoraid,True,True,False,Fishing Old Rod,10,15%,15%,15%
Route 44,N/A,magikarp,True,True,False,Fishing Good Rod,20,35%,35%,35%
Route 44,N/A,remoraid,True,True,False,Fishing Good Rod,20,65%,65%,65%
Route 44,N/A,remoraid,True,True,False,Fishing Super Rod,40,100%,100%,100%
Ice Path,N/A,zubat,True,False,False,Cave,22,25%,20%,25%
Ice Path,N/A,zubat,False,True,False,Cave,22,5%,0%,5%
Ice Path,N/A,zubat,False,False,True,Cave,22,30%,30%,30%
Ice Path,N/A,golbat,True,True,True,Cave,22-24,30%,30%,30%
Ice Path,N/A,jynx,True,True,False,Cave,20,5%,10%,5%
Ice Path,N/A,swinub,True,True,False,Cave,21-23,40%,40%,40%
Ice Path,N/A,swinub,False,False,True,Cave,21-23,40%,40%,0%
Ice Path,N/A,delibird,False,True,False,Cave,22,20%,20%,20%
Ice Path,N/A,delibird,False,False,True,Cave,21-23,0%,0%,40%
Ice Path,N/A,zubat,True,False,False,Cave,22,25%,20%,25%
Ice Path,N/A,zubat,False,True,False,Cave,22,5%,0%,5%
Ice Path,N/A,zubat,False,False,True,Cave,23,30%,30%,30%
Ice Path,N/A,golbat,True,True,False,Cave,22,30%,30%,30%
Ice Path,N/A,golbat,False,False,True,Cave,23-25,29%,29%,29%
Ice Path,N/A,jynx,True,True,False,Cave,22,5%,0%,5%
Ice Path,N/A,jynx,True,True,False,Cave,20-22,0%,10%,0%
Ice Path,N/A,jynx,False,False,True,Cave,22,1%,1%,0%
Ice Path,N/A,sneasel,False,False,True,Cave,22,0%,0%,1%
Ice Path,N/A,swinub,True,True,False,Cave,21-23,40%,40%,40%
Ice Path,N/A,swinub,False,False,True,Cave,22,40%,40%,0%
Ice Path,N/A,delibird,False,True,False,Cave,22,20%,20%,20%
Ice Path,N/A,delibird,False,False,True,Cave,22-24,0%,0%,40%
Ice Path,N/A,zubat,True,False,False,Cave,23,25%,20%,25%
Ice Path,N/A,zubat,False,True,False,Cave,23,5%,0%,5%
Ice Path,N/A,zubat,False,False,True,Cave,24,30%,30%,30%
Ice Path,N/A,golbat,True,True,False,Cave,23,30%,30%,30%
Ice Path,N/A,golbat,False,False,True,Cave,24-26,25%,25%,25%
Ice Path,N/A,jynx,True,True,False,Cave,22,5%,10%,5%
Ice Path,N/A,jynx,False,False,True,Cave,22,5%,5%,0%
Ice Path,N/A,sneasel,False,False,True,Cave,22,0%,0%,5%
Ice Path,N/A,swinub,True,True,False,Cave,22-24,40%,40%,40%
Ice Path,N/A,swinub,False,False,True,Cave,23-25,40%,40%,0%
Ice Path,N/A,delibird,False,True,False,Cave,23,20%,20%,20%
Ice Path,N/A,delibird,False,False,True,Cave,23-25,0%,0%,40%
Ice Path,N/A,zubat,True,False,False,Cave,24,25%,20%,25%
Ice Path,N/A,zubat,False,True,False,Cave,24,5%,0%,5%
Ice Path,N/A,zubat,False,False,True,Cave,25,30%,30%,30%
Ice Path,N/A,golbat,True,True,False,Cave,24,30%,30%,30%
Ice Path,N/A,golbat,False,False,True,Cave,25,20%,20%,20%
Ice Path,N/A,jynx,True,True,False,Cave,22,0%,5%,0%
Ice Path,N/A,jynx,True,True,False,Cave,24,5%,5%,5%
Ice Path,N/A,jynx,False,False,True,Cave,"22, 24, 26",10%,10%,0%
Ice Path,N/A,sneasel,False,False,True,Cave,"22, 24, 26",0%,0%,10%
Ice Path,N/A,swinub,True,True,False,Cave,"23, 25",40%,40%,40%
Ice Path,N/A,swinub,False,False,True,Cave,"24, 26",40%,40%,0%
Ice Path,N/A,delibird,False,True,False,Cave,24,20%,20%,20%
